year_month,product,price,category
202106,生姜,9.33,蔬菜
202106,香菇,10.72,蔬菜
202106,蒜苔,6.44,蔬菜
202106,平菇,7.31,蔬菜
202106,大葱,4.43,蔬菜
202106,韭菜,3.03,蔬菜
202106,西葫芦,2.41,蔬菜
202106,洋白菜,1.38,蔬菜
202106,油菜,2.87,蔬菜
202106,菠菜,4.62,蔬菜
202106,冬瓜,1.79,蔬菜
202106,大蒜,6.59,蔬菜
202106,生菜,3.27,蔬菜
202106,莲藕,10.06,蔬菜
202106,南瓜,2.66,蔬菜
202106,葱头,2.39,蔬菜
202106,大白菜,1.51,蔬菜
202106,土豆,2.18,蔬菜
202107,芹菜,3.32,蔬菜
202107,西红柿,2.91,蔬菜
202107,豆角,5.44,蔬菜
202107,白萝卜,1.48,蔬菜
202107,茄子,2.90,蔬菜
202107,胡萝卜,2.47,蔬菜
202107,黄瓜,3.04,蔬菜
202107,莴笋,3.06,蔬菜
202107,青椒,3.32,蔬菜
202107,菜花,3.80,蔬菜
202107,生姜,9.06,蔬菜
202107,香菇,10.86,蔬菜
202107,蒜苔,6.71,蔬菜
202107,平菇,7.29,蔬菜
202107,大葱,3.40,蔬菜
202107,韭菜,3.51,蔬菜
202107,西葫芦,2.37,蔬菜
202107,洋白菜,1.48,蔬菜
202107,油菜,3.26,蔬菜
202107,菠菜,6.10,蔬菜
202107,冬瓜,1.55,蔬菜
202107,大蒜,6.89,蔬菜
202107,生菜,4.32,蔬菜
202107,莲藕,10.15,蔬菜
202107,南瓜,2.27,蔬菜
202107,葱头,2.31,蔬菜
202107,大白菜,1.49,蔬菜
202107,土豆,2.01,蔬菜
202108,芹菜,4.57,蔬菜
202108,西红柿,3.57,蔬菜
202108,豆角,6.30,蔬菜
202108,白萝卜,1.65,蔬菜
202108,茄子,3.48,蔬菜
202108,胡萝卜,2.41,蔬菜
202108,黄瓜,3.65,蔬菜
202108,莴笋,3.95,蔬菜
202108,青椒,3.60,蔬菜
